depth (ft),DTC (us/ft),DTS (us/ft)
5000,77.2805,114.8416
5000.5,78.1448,114.1503
5001,72.3262,104.872
5001.5,69.1538,101.2285
5002,67.9961,104.3231
5002.5,62.7413,101.9217
5003,62.1229,99.0215
5003.5,62.385,97.6386
5004,62.9182,96.8713
5004.5,63.4273,99.6877
5005,62.6754,99.6293
5005.5,62.2703,100.3023
5006,58.8931,92.4587
5006.5,60.7253,93.6886
5007,61.0078,92.0443
5007.5,67.4958,101.6814
5008,69.5302,103.1684
5008.5,70.247,114.6017
5009,79.9493,124.6497
5009.5,80.6318,127.3265
5010,81.3142,129.9924
5010.5,65.3225,120.3911
5011,66.2227,112.1107
5011.5,67.0972,114.7895
5012,68.4042,117.409
5012.5,68.007,112.7455
5013,67.8567,113.1133
5013.5,68.7551,110.7058
5014,67.9571,109.7536
5014.5,67.764,108.8059
5015,67.3248,107.6507
5015.5,66.0768,106.1644
5016,65.7761,105.1222
5016.5,66.3104,101.532
5017,66.0705,104.3604
5017.5,66.1341,100.9583
5018,65.5798,104.302
5018.5,66.4313,101.9783
5019,66.145,102.5685
5019.5,67.1184,104.2675
5020,67.3563,102.9502
5020.5,67.8207,106.222
5021,68.5671,108.9622
5021.5,69.1478,107.0756
5022,68.5888,108.8342
5022.5,68.1801,106.748
5023,68.1,106.543
5023.5,67.9692,106.2876
5024,67.5107,104.8763
5024.5,67.6567,104.8337
5025,67.5308,104.277
5025.5,67.4451,104.8374
5026,67.2556,104.8685
5026.5,66.3126,101.9507
5027,66.0456,100.3006
5027.5,64.0448,98.015
5028,63.2262,100.0519
5028.5,63.1766,98.8062
5029,61.8566,94.4908
5029.5,58.8558,92.2762
5030,54.2692,89.2933
5030.5,54.0595,91.224
5031,72.3629,125.3093
5031.5,69.9566,103.0752
5032,69.1414,108.6394
5032.5,67.3976,101.6154
5033,67.2229,101.0833
5033.5,65.3974,101.4375
5034,65.7097,104.4869
5034.5,66.1308,103.243
5035,66.5668,104.5811
5035.5,65.9775,103.2463
5036,65.4238,103.0124
5036.5,66.427,101.2569
5037,65.207,102.222
5037.5,64.7851,103.7705
5038,67.6966,107.1999
5038.5,67.3388,111.9034
5039,69.3387,116.6189
5039.5,69.5919,115.3627
5040,71.9564,121.4885
5040.5,72.1656,125.0023
5041,72.4953,126.7674
5041.5,71.2083,122.7167
5042,69.8313,119.3973
5042.5,67.393,110.0982
5043,67.0492,107.5513
5043.5,64.3207,102.838
5044,65.1944,104.0634
5044.5,65.2664,102.4783
5045,65.6634,104.2926
5045.5,65.9863,104.928
5046,65.8677,104.7334
5046.5,65.1437,103.9387
5047,64.4945,99.0292
5047.5,63.9599,99.6418
5048,63.9061,97.4891
5048.5,63.5993,98.9386
5049,62.6793,100.6082
5049.5,65.1163,105.9602
5050,65.7761,109.0694
