Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
2395	40420	0.459872685	40420	0.459872685	0.928	-05:00	-528.8	4508.42	5612.38	-2.81	2.38	20140831t160213_794000z
2396	40420	0.45994213	40420	0.45994213	0.462	-05:00	-546.84	4478.53	5585.97	-2.79	1.52	20140831t160219_328250z
2397	40420	0.460300926	40420	0.460300926	0.488	-05:00	-369.76	4448.37	5724.29	-2.96	2.76	20140831t160250_342250z
2398	40420	0.464189815	40420	0.464189815	0.768	-05:00	-450.02	4449.97	5745.04	-2.72	2.15	20140831t160826_614250z
2399	40420	0.465231481	40420	0.465231481	0.672	-05:00	-465.37	4450.05	5702.69	-2.77	2.69	20140831t160956_509250z
2400	40420	0.466516204	40420	0.466516204	0.636	-05:00	-575.91	4508.3	5510.99	-2.59	3.22	20140831t161147_517500z
2401	40420	0.469085648	40420	0.469085648	0.188	-05:00	-473.13	4396.04	5735.92	-2.7	1.98	20140831t161529_047000z
2402	40420	0.470208333	40420	0.470208333	0.922	-05:00	-356.29	4461.45	5763.09	-2.76	1.89	20140831t161706_764250z
2403	40420	0.471886574	40420	0.471886574	0.259	-05:00	-238.75	4478.45	5728.36	-2.75	2.12	20140831t161931_098250z
2404	40420	0.472581019	40420	0.472581019	0.766	-05:00	-456.88	4448.34	5723.89	-2.68	1.47	20140831t162031_404500z
2405	40420	0.475266204	40420	0.475266204	0.71	-05:00	-438.26	4538.56	5634.59	-2.75	1.5	20140831t162423_569750z
2406	40420	0.475902778	40420	0.475902778	0.658	-05:00	-380.71	4547.38	5758.28	-2.67	1.07	20140831t162518_540250z
2407	40420	0.477418981	40420	0.477418981	0.004	-05:00	-386.71	4441.63	5769.99	-2.69	1.44	20140831t162729_634750z
2408	40420	0.482881944	40420	0.482881944	0.462	-05:00	-84.83	4503.27	5737.72	-2.79	2.4	20140831t163521_319500z
2409	40420	0.48505787	40420	0.48505787	0.256	-05:00	-448.71	4448.5	5777.15	-2.52	1.45	20140831t163829_117750z
2410	40420	0.485555556	40420	0.485555556	0.917	-05:00	-64.69	4484.06	5744.38	-2.74	1.45	20140831t163912_743750z
2411	40420	0.488391204	40420	0.488391204	0.259	-05:00	-138.23	4497.52	5682.37	-2.69	2.35	20140831t164317_863250z
2412	40420	0.489930556	40420	0.489930556	0.853	-05:00	-114.67	4410.6	5795.26	-2.78	1.55	20140831t164530_708000z
2413	40420	0.491145833	40420	0.491145833	0.354	-05:00	413.1	4568.42	5581.38	-2.63	2.56	20140831t164715_976000z
2414	40420	0.496030093	40420	0.496030093	0.377	-05:00	151.36	4478.5	5696.09	-2.8	2.59	20140831t165417_224500z
2415	40420	0.497592593	40420	0.497592593	0.32	-05:00	60.99	4494.31	5766.82	-2.9	1.91	20140831t165632_942750z
2416	40420	0.498009259	40420	0.498009259	0.636	-05:00	-584.72	4418.48	5722.49	-2.57	1.27	20140831t165708_275750z
2417	40420	0.5	40420	0.5	0.587	-05:00	-916.75	4478.44	5610.52	-2.19	1.15	20140831t170000_279750z
2418	40420	0.5	40420	0.5	0.804	-05:00	-182.21	4388.31	5666.06	-2.44	1.03	20140831t170000_509250z
2419	40420	0.501076389	40420	0.501076389	0.75	-05:00	265.85	4448.33	5786.8	-2.7	2.44	20140831t170133_595250z
2420	40420	0.501261574	40420	0.501261574	0.796	-05:00	-181.97	4478.44	5675.58	-2.74	1.79	20140831t170149_433250z
2421	40420	0.502893519	40420	0.502893519	0.468	-05:00	-440.6	4478.3	5580.98	-2.61	1.71	20140831t170410_418750z
2422	40420	0.504236111	40420	0.504236111	0.655	-05:00	257.53	4555.55	5713.15	-2.86	1.78	20140831t170606_519250z
2423	40420	0.504293981	40420	0.504293981	0.262	-05:00	-108.34	4565.25	5665.83	-2.76	1.42	20140831t170611_109250z
2424	40420	0.505497685	40420	0.505497685	0.132	-05:00	-798.28	4512.66	5756.51	-2.11	3.32	20140831t170755_003750z
2425	40420	0.507395833	40420	0.507395833	0.866	-05:00	-270.78	4358.42	5730.42	-2.73	1.97	20140831t171039_721500z
2426	40420	0.51025463	40420	0.51025463	0.186	-05:00	-58.7	4677.48	5570.88	-2.69	1.99	20140831t171446_051000z
2427	40420	0.511770833	40420	0.511770833	0.448	-05:00	-198.2	4522.66	5677.17	-2.6	2.41	20140831t171657_294000z
2428	40420	0.514884259	40420	0.514884259	0.196	-05:00	-128.62	4486.95	5754.49	-2.75	3.32	20140831t172126_030250z
2429	40420	0.516030093	40420	0.516030093	0.148	-05:00	-277.36	4558.11	5679.11	-2.7	1.83	20140831t172305_007500z
2430	40420	0.516053241	40420	0.516053241	0.809	-05:00	391.18	4538.4	5728.68	-2.72	1.41	20140831t172307_665500z
2431	40420	0.516215278	40420	0.516215278	0.966	-05:00	-180.05	4571.98	5686.11	-2.63	1.79	20140831t172321_788750z
2432	40420	0.516539352	40420	0.516539352	0.339	-05:00	-299.96	4568.48	5686.47	-2.74	1.52	20140831t172349_188250z
2433	40420	0.516631944	40420	0.516631944	0.803	-05:00	-333.96	4508.49	5752.07	-2.51	3.68	20140831t172357_662500z
2434	40420	0.516631944	40420	0.516631944	0.807	-05:00	-305.09	4498.83	5727.67	-2.56	3.55	20140831t172357_453750z
