Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
1	40406	0.100266204	40406	0.100266204	0.013	-05:00	619.75	4701.86	5804.43	-2.24	1.64	20140817t072423_824500z
2	40406	0.100277778	40406	0.100277778	0.161	-05:00	949.09	4881.8	5794.28	-2.22	1.12	20140817t072424_024750z
3	40406	0.100277778	40406	0.100277778	0.621	-05:00	737.33	4784.07	5779.63	-2.38	1.32	20140817t072424_276000z
4	40406	0.105752315	40406	0.105752315	0.928	-05:00	919.34	4701.83	5785.43	-2.29	1.24	20140817t073217_776750z
5	40406	0.106458333	40406	0.106458333	0.206	-05:00	574.08	4672.86	5783.19	-2.01	1.03	20140817t073318_924750z
6	40406	0.106493056	40406	0.106493056	0.483	-05:00	787.77	5021.85	5757.82	-2.01	1.37	20140817t073321_140250z
7	40406	0.109039352	40406	0.109039352	0.732	-05:00	907.74	4701.81	5789.93	-2.2	1.6	20140817t073701_585500z
8	40406	0.109814815	40406	0.109814815	0.982	-05:00	787.78	5099.78	5766.43	-2.23	1.25	20140817t073808_847000z
9	40406	0.110023148	40406	0.110023148	0.424	-05:00	577.71	4734.84	5762.12	-2.32	1.31	20140817t073826_237250z
10	40406	0.110023148	40406	0.110023148	0.987	-05:00	467.78	4541.86	5784.17	-2.39	0.71	20140817t073826_822750z
11	40406	0.110173611	40406	0.110173611	0.912	-05:00	907.77	4741.87	5779.89	-2.28	1.3	20140817t073839_768250z
12	40406	0.1103125	40406	0.1103125	0.835	-05:00	643.02	4630.99	5778.48	-2.37	0.87	20140817t073851_668750z
13	40406	0.110324074	40406	0.110324074	0.677	-05:00	756.21	4541.9	5781.58	-2.36	1.11	20140817t073852_525250z
14	40406	0.113773148	40406	0.113773148	0.828	-05:00	967.74	4981.9	5781.17	-2.16	2.25	20140817t074350_655500z
15	40406	0.117337963	40406	0.117337963	0.195	-05:00	786.79	4501.85	5781.22	-2.11	1.17	20140817t074858_034750z
16	40406	0.118020833	40406	0.118020833	0.336	-05:00	967.39	4815.15	5768.38	-2.18	1.93	20140817t074957_189500z
17	40406	0.12130787	40406	0.12130787	0.486	-05:00	707.78	4801.85	5830.52	-2.31	1.18	20140817t075441_318750z
18	40406	0.1246875	40406	0.1246875	0.606	-05:00	782.16	4621.91	5809.09	-2.08	1.9	20140817t075933_447500z
19	40406	0.12650463	40406	0.12650463	0.846	-05:00	761.37	4601.86	5831.29	-2.12	0.54	20140817t080210_671750z
20	40406	0.127222222	40406	0.127222222	0.033	-05:00	902.98	4982.51	5771.59	-1.74	1.91	20140817t080312_888750z
21	40406	0.127962963	40406	0.127962963	0.833	-05:00	1030.77	4786.82	5784.12	-2.18	1.2	20140817t080416_721750z
22	40406	0.131180556	40406	0.131180556	0.388	-05:00	1032.07	4441.91	5804.45	-2.2	1.13	20140817t080854_215000z
23	40406	0.133877315	40406	0.133877315	0.196	-05:00	1027.84	5396.43	5687.2	-2.02	3.41	20140817t081247_055000z
24	40406	0.134074074	40406	0.134074074	0.537	-05:00	922.62	4801.85	5893.91	-2.28	1.21	20140817t081304_386750z
25	40406	0.136076389	40406	0.136076389	0.699	-05:00	870.7	4625.96	5849.55	-2.25	0.78	20140817t081557_574750z
26	40406	0.137592593	40406	0.137592593	0.561	-05:00	747.73	5001.89	5827.14	-1.83	0.62	20140817t081808_360250z
27	40406	0.138402778	40406	0.138402778	0.222	-05:00	764.11	4530.52	5771	-2.27	0.63	20140817t081918_016500z
28	40406	0.14099537	40406	0.14099537	0.365	-05:00	815.61	4261.85	5791.8	-1.89	1.88	20140817t082302_195250z
29	40406	0.14212963	40406	0.14212963	0.296	-05:00	1010.55	5044.79	5896.45	-2.18	0.69	20140817t082440_162250z
30	40406	0.143541667	40406	0.143541667	0.813	-05:00	1167.54	5300.35	5781.49	-1.74	2.39	20140817t082642_686750z
31	40406	0.144594907	40406	0.144594907	0.062	-05:00	756.91	4718.19	5809.1	-2.18	1.4	20140817t082813_897500z
32	40406	0.144814815	40406	0.144814815	0.156	-05:00	907.8	4903.43	5803.32	-2.13	0.73	20140817t082832_019000z
33	40406	0.146944444	40406	0.146944444	0.083	-05:00	243.13	4595.49	5632.55	-2.55	3.03	20140817t083136_869500z
34	40406	0.14744213	40406	0.14744213	0.96	-05:00	925.61	4829.78	5871.71	-2.05	1.48	20140817t083219_784000z
35	40406	0.148009259	40406	0.148009259	0.752	-05:00	67.8	4615.63	5662.87	-2.52	1.89	20140817t083308_531500z
36	40406	0.148854167	40406	0.148854167	0.274	-05:00	11.68	4542.68	5771.36	-2.64	0.95	20140817t083421_067000z
37	40406	0.150451389	40406	0.150451389	0.375	-05:00	947.81	4801.79	5825.05	-1.78	0.68	20140817t083639_187500z
38	40406	0.153888889	40406	0.153888889	0.033	-05:00	682.62	4641.85	5788.18	-1.86	1.64	20140817t084136_849750z
39	40406	0.157337963	40406	0.157337963	0.783	-05:00	807.82	4890.68	5826.75	-1.77	1.18	20140817t084634_612250z
40	40406	0.158344907	40406	0.158344907	0.173	-05:00	567.19	4741.86	5809.78	-2.38	1.11	20140817t084801_993000z
41	40406	0.160474537	40406	0.160474537	0.723	-05:00	-256.14	4665.77	5658.25	-2.19	1.91	20140817t085105_520250z
42	40406	0.161273148	40406	0.161273148	0.755	-05:00	139.32	4567.17	5652.77	-2.51	1.6	20140817t085214_535750z
43	40406	0.162800926	40406	0.162800926	0.796	-05:00	1147.76	5221.87	5780.96	-1.99	1.74	20140817t085426_630250z
44	40406	0.163518519	40406	0.163518519	0.204	-05:00	506.25	4714.91	5858.25	-2.25	0.72	20140817t085528_975500z
45	40406	0.163738426	40406	0.163738426	0.779	-05:00	67.79	4556.78	5732.98	-2.49	2.55	20140817t085547_546750z
46	40406	0.163842593	40406	0.163842593	0.503	-05:00	1167.78	5481.85	5551	-1.57	1.95	20140817t085556_379000z
47	40406	0.164108796	40406	0.164108796	0.485	-05:00	1336.25	5031.82	5475.06	-2.03	1.6	20140817t085619_384750z
48	40406	0.166898148	40406	0.166898148	0.955	-05:00	423.64	4561.87	6031.99	-2.41	1.64	20140817t090020_741500z
49	40406	0.167488426	40406	0.167488426	0.436	-05:00	867.75	4901.9	5790.63	-2.27	0.82	20140817t090111_295500z
50	40406	0.168090278	40406	0.168090278	0.602	-05:00	667.8	4801.82	5432.44	-2.18	1.71	20140817t090203_430250z
51	40406	0.168402778	40406	0.168402778	0.936	-05:00	-152.7	4459.8	5772.88	-2.58	1.82	20140817t090230_751500z
52	40406	0.169849537	40406	0.169849537	0.782	-05:00	457.09	4732.86	5494.73	-2.29	1.7	20140817t090435_599750z
53	40406	0.169884259	40406	0.169884259	0.07	-05:00	1346.31	5401.85	5546.54	-2.07	1.83	20140817t090438_982250z
54	40406	0.170150463	40406	0.170150463	0.683	-05:00	-95.73	4596.03	5574.39	-2.26	2.2	20140817t090501_288750z
55	40406	0.170520833	40406	0.170520833	0.901	-05:00	1060.95	4841.85	5811.27	-1.76	1.96	20140817t090533_740000z
56	40406	0.170787037	40406	0.170787037	0.865	-05:00	947.8	4681.8	5723.61	-2.14	0.66	20140817t090556_710250z
57	40406	0.171886574	40406	0.171886574	0.578	-05:00	787.72	5181.91	5779.12	-1.67	2.07	20140817t090731_392000z
58	40406	0.173668981	40406	0.173668981	0.648	-05:00	977.09	4761.88	5826.45	-1.86	2.95	20140817t091005_453750z
59	40406	0.174351852	40406	0.174351852	0.923	-05:00	527.76	4898.11	5849.52	-2.07	1.24	20140817t091104_754250z
60	40406	0.174780093	40406	0.174780093	0.819	-05:00	1427.16	5261.74	5538.54	-1.81	3.3	20140817t091141_695000z
61	40406	0.175092593	40406	0.175092593	0.734	-05:00	965.33	4721.8	5828	-2.21	2.09	20140817t091208_546500z
62	40406	0.178298611	40406	0.178298611	0.047	-05:00	907.74	4801.91	5832.82	-2.05	1.47	20140817t091645_865250z
63	40406	0.178622685	40406	0.178622685	0.355	-05:00	927.82	4842.66	5831.04	-2.03	2.71	20140817t091713_185000z
64	40406	0.18244213	40406	0.18244213	0.651	-05:00	167.78	5310.2	5830.64	-2.08	2.75	20140817t092243_468000z
65	40406	0.182523148	40406	0.182523148	0.065	-05:00	447.76	4561.88	5912.8	-2.43	1.97	20140817t092250_889000z
66	40406	0.184293981	40406	0.184293981	0.26	-05:00	1026	5466.98	5503.94	-1.52	3.42	20140817t092523_115750z
67	40406	0.186423611	40406	0.186423611	0.516	-05:00	-218.44	4461.86	5778.25	-2.58	1.87	20140817t092827_302250z
68	40406	0.190497685	40406	0.190497685	0.28	-05:00	865.88	4975.87	5775.21	-2.01	1.54	20140817t093419_127000z
69	40406	0.190543981	40406	0.190543981	0.456	-05:00	207.79	4621.84	5615.96	-2.56	0.9	20140817t093423_237750z
70	40406	0.191168981	40406	0.191168981	0.39	-05:00	-85.67	4558.29	5652.71	-2.31	2.87	20140817t093517_156750z
71	40406	0.194826389	40406	0.194826389	0.758	-05:00	-233.83	4403.28	5750.44	-2.66	0.54	20140817t094033_559500z
72	40406	0.195555556	40406	0.195555556	0.166	-05:00	207.78	4561.84	5901.31	-2.61	2.22	20140817t094136_954500z
73	40406	0.19880787	40406	0.19880787	0.77	-05:00	27.79	4537.81	5701.19	-2.46	2.05	20140817t094617_544250z
74	40406	0.202997685	40406	0.202997685	0.815	-05:00	-222.68	4461.84	5781.69	-2.52	1.71	20140817t095219_590500z
75	40406	0.203263889	40406	0.203263889	0.258	-05:00	-312.92	4621.7	5525.58	-2.38	1.81	20140817t095242_048750z
76	40406	0.204525463	40406	0.204525463	0.715	-05:00	184.95	4553.09	5706.57	-2.48	2.21	20140817t095431_487250z
77	40406	0.205428241	40406	0.205428241	0.919	-05:00	-22.92	4479.69	5791.36	-2.65	3.28	20140817t095549_706750z
78	40406	0.206261574	40406	0.206261574	0.394	-05:00	-255.73	4492.62	5780.09	-2.44	1.94	20140817t095701_173250z
79	40406	0.211168981	40406	0.211168981	0.032	-05:00	-392.26	5181.83	5811	-2.07	2.7	20140817t100405_834500z
80	40406	0.211712963	40406	0.211712963	0.642	-05:00	16.31	4542.52	5729.51	-2.68	1.7	20140817t100452_420750z
81	40406	0.211828704	40406	0.211828704	0.626	-05:00	-86.22	4530	5671.66	-2.65	1.72	20140817t100502_400250z
82	40406	0.213912037	40406	0.213912037	0.035	-05:00	767.81	4821.8	5805.67	-1.93	1.05	20140817t100802_874750z
83	40406	0.217939815	40406	0.217939815	0.272	-05:00	1097.67	3941.92	5821.53	-1.83	3.68	20140817t101350_097000z
84	40406	0.218541667	40406	0.218541667	0.11	-05:00	631.56	4726.21	5807.47	-2.23	1.78	20140817t101442_942250z
85	40406	0.229155093	40406	0.229155093	0.549	-05:00	1008.51	4945.52	5806.52	-2.16	2.05	20140817t102959_387000z
86	40406	0.229155093	40406	0.229155093	0.979	-05:00	938.47	4886.51	5788.86	-2.12	1.66	20140817t102959_666500z
87	40406	0.229444444	40406	0.229444444	0.743	-05:00	967.79	4961.82	5802.44	-2.04	3.11	20140817t103024_505000z
88	40406	0.229456019	40406	0.229456019	0.217	-05:00	1034.22	4541.83	5750.83	-2.19	1.65	20140817t103025_076500z
89	40406	0.229525463	40406	0.229525463	0.155	-05:00	911.67	4924.8	5772.38	-2.05	3.64	20140817t103031_991000z
90	40406	0.229525463	40406	0.229525463	0.602	-05:00	947.76	4881.87	5792.66	-2.2	2.73	20140817t103031_459750z
91	40406	0.229722222	40406	0.229722222	0.223	-05:00	985.12	4741.89	5717.28	-2.5	0.68	20140817t103048_039250z
92	40406	0.229826389	40406	0.229826389	0.096	-05:00	928.4	4958.52	5788.17	-2.21	3.33	20140817t103057_949250z
93	40406	0.230069444	40406	0.230069444	0.646	-05:00	944.96	4888.01	5786.14	-2.29	2.05	20140817t103118_504500z
94	40406	0.230092593	40406	0.230092593	0.483	-05:00	483.22	4833.89	5789.49	-2.15	2.11	20140817t103120_321500z
95	40406	0.230150463	40406	0.230150463	0.984	-05:00	966	4986.11	5765.75	-1.92	3.4	20140817t103125_801500z
96	40406	0.230219907	40406	0.230219907	0.239	-05:00	954.36	5009.7	5759.98	-2.1	2.26	20140817t103131_099750z
97	40406	0.230231481	40406	0.230231481	0.244	-05:00	885.83	4851.76	5806.08	-2.08	3.23	20140817t103132_058000z
98	40406	0.230231481	40406	0.230231481	0.756	-05:00	1006.4	4731.36	5772.61	-2.25	2.11	20140817t103132_566250z
99	40406	0.230462963	40406	0.230462963	0.118	-05:00	867.79	4881.84	5804.36	-2.03	2.02	20140817t103152_968500z
100	40406	0.230462963	40406	0.230462963	0.614	-05:00	971.3	4948.16	5788.24	-2.38	2.45	20140817t103152_445750z
101	40406	0.230462963	40406	0.230462963	0.833	-05:00	1005.86	5015.65	5788.12	-2.1	3.03	20140817t103152_657250z
102	40406	0.230474537	40406	0.230474537	0.718	-05:00	1003.1	4856.62	5784.88	-1.92	2.09	20140817t103153_564500z
103	40406	0.230474537	40406	0.230474537	0.719	-05:00	977.7	4841.81	5807.97	-1.93	2.14	20140817t103153_359750z
104	40406	0.230474537	40406	0.230474537	0.92	-05:00	847.81	5021.81	5787.08	-1.84	2.31	20140817t103153_765500z
105	40406	0.230486111	40406	0.230486111	0.363	-05:00	1063.15	4722.6	5789.34	-2	3.19	20140817t103154_184500z
106	40406	0.230671296	40406	0.230671296	0.036	-05:00	979.8	4721.86	5790.48	-2.32	2.76	20140817t103210_874250z
107	40406	0.23068287	40406	0.23068287	0.154	-05:00	944.64	4828.73	5800.58	-2.13	3.55	20140817t103211_993750z
108	40406	0.230706019	40406	0.230706019	0.279	-05:00	969.57	4967.35	5790.19	-2.02	3.53	20140817t103213_132500z
109	40406	0.2309375	40406	0.2309375	0.814	-05:00	1025.88	4801.84	5804.11	-2.13	3.33	20140817t103233_669250z
110	40406	0.231006944	40406	0.231006944	0.345	-05:00	907.79	4921.84	5779.75	-2.27	2.51	20140817t103239_202250z
111	40406	0.231041667	40406	0.231041667	0.13	-05:00	1007.77	4781.86	5793.16	-2.3	1.78	20140817t103242_988500z
112	40406	0.233877315	40406	0.233877315	0.866	-05:00	-392.22	5233.36	5828.34	-2.16	3.03	20140817t103647_674000z
113	40406	0.235208333	40406	0.235208333	0.39	-05:00	827.78	4201.88	5744.15	-2.46	2.44	20140817t103842_222500z
114	40406	0.241597222	40406	0.241597222	0.332	-05:00	609.51	4845.52	5721.83	-2.54	2.63	20140817t104754_166750z
115	40406	0.430381944	40406	0.430381944	0.577	-05:00	582.85	4521.85	5809.25	-2.84	3.33	20140817t151945_361000z
116	40406	0.43875	40406	0.43875	0.192	-05:00	627.51	4676.88	5790.15	-2.31	0.67	20140817t153148_008500z
117	40406	0.440046296	40406	0.440046296	0.014	-05:00	827.78	4981.84	5802.15	-2.31	1.68	20140817t153340_865250z
118	40406	0.44869213	40406	0.44869213	0.483	-05:00	1335.83	5019.9	5501	-2.49	1.03	20140817t154607_138750z
119	40406	0.44869213	40406	0.44869213	0.487	-05:00	1256.71	4928.34	5468.63	-2.5	1.14	20140817t154607_421750z
120	40406	0.450358796	40406	0.450358796	0.267	-05:00	378.85	4201.87	5814.34	-2.54	2.35	20140817t154831_069500z
121	40406	0.457465278	40406	0.457465278	0.48	-05:00	307.78	4661.85	5839.02	-3.14	2.72	20140817t155845_294000z
122	40406	0.459803241	40406	0.459803241	0.415	-05:00	47.78	4469.98	5813.97	-3.3	0.72	20140817t160207_314250z
123	40406	0.459895833	40406	0.459895833	0.699	-05:00	1073.8	4853.93	5603.93	-2.77	1.75	20140817t160215_442500z
124	40406	0.45994213	40406	0.45994213	0.651	-05:00	327.43	4101.89	5795.85	-2.37	1.87	20140817t160219_454000z
125	40406	0.460150463	40406	0.460150463	0.496	-05:00	-262.88	4481.85	5817.13	-2.52	1.88	20140817t160237_304250z
126	40406	0.460243056	40406	0.460243056	0.93	-05:00	559.59	4419.89	5493.94	-2.33	3.47	20140817t160245_579750z
127	40406	0.461736111	40406	0.461736111	0.426	-05:00	851.1	4747.03	5868.42	-2.69	3.19	20140817t160454_279500z
128	40406	0.461956019	40406	0.461956019	0.261	-05:00	905.53	4559.24	5819.29	-2.11	1.15	20140817t160513_102500z
129	40406	0.464918981	40406	0.464918981	0.369	-05:00	1017.94	4841.85	5530.08	-2.78	1.35	20140817t160929_074000z
130	40406	0.469953704	40406	0.469953704	0.127	-05:00	-76.99	4507.71	5829.27	-2.98	0.72	20140817t161644_888500z
131	40406	0.470914352	40406	0.470914352	0.071	-05:00	-48.49	4417.87	5824.89	-3.34	0.88	20140817t161807_867000z
132	40406	0.471053241	40406	0.471053241	0.489	-05:00	929.59	4858.31	5844.23	-1.49	2.68	20140817t161819_306750z
133	40406	0.472222222	40406	0.472222222	0.496	-05:00	523.65	4754.21	5531	-2.99	0.6	20140817t162000_325500z
134	40406	0.473472222	40406	0.473472222	0.846	-05:00	187.78	4537.25	5825.24	-2.8	0.6	20140817t162148_535500z
135	40406	0.474756944	40406	0.474756944	0.817	-05:00	1007.78	4221.85	5651	-2.94	1.47	20140817t162339_685750z
136	40406	0.476053241	40406	0.476053241	0.552	-05:00	-18.19	4427.71	5810.02	-3.35	0.94	20140817t162531_334250z
137	40406	0.476261574	40406	0.476261574	0.552	-05:00	559.18	4654.53	5851.83	-2.89	1.21	20140817t162549_378750z
