Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
4362	40425	0.762256944	40425	0.762256944	0.388	-05:00	2188.77	4672	5709	-2.45	2.01	20140905t231739_327000z
4363	40425	0.762824074	40425	0.762824074	0.697	-05:00	2048.78	4791.96	5829	-2.6	1.24	20140905t231828_633750z
4364	40425	0.76556713	40425	0.76556713	0.247	-05:00	2168.51	4262.13	5705.06	-2.48	0.77	20140905t232225_221750z
4365	40425	0.768576389	40425	0.768576389	0.902	-05:00	2268.75	5012.11	5449	-2.4	1.62	20140905t232645_876500z
4366	40425	0.768773148	40425	0.768773148	0.869	-05:00	-191.91	5198.1	5847.67	-2.76	1.29	20140905t232702_702750z
4367	40425	0.76931713	40425	0.76931713	0.248	-05:00	2548.76	4872.09	5769	-2.34	1.21	20140905t232749_230500z
4368	40425	0.7696875	40425	0.7696875	0.058	-05:00	2248.77	4872.03	5449	-2.38	1.49	20140905t232821_052750z
4369	40425	0.769814815	40425	0.769814815	0.101	-05:00	2648.81	5211.93	5449	-2.36	0.94	20140905t232832_039000z
4370	40425	0.770381944	40425	0.770381944	0.567	-05:00	2208.72	4832.26	5469	-2.25	1.84	20140905t232921_446250z
4371	40425	0.771388889	40425	0.771388889	0.027	-05:00	1948.79	5352.04	5389	-2.45	1.18	20140905t233048_990000z
4372	40425	0.771400463	40425	0.771400463	0.881	-05:00	2328.75	4321.9	5654.62	-2.3	1.06	20140905t233049_944250z
4373	40425	0.771458333	40425	0.771458333	0.511	-05:00	2248.75	4792.13	5649	-2.49	1.1	20140905t233054_477750z
4374	40425	0.772002315	40425	0.772002315	0.944	-05:00	1968.73	5492.15	5829	-2.08	0.9	20140905t233141_890000z
4375	40425	0.772361111	40425	0.772361111	0.95	-05:00	2168.78	4811.95	5789	-2.32	1.06	20140905t233212_801250z
4376	40425	0.772488426	40425	0.772488426	0.093	-05:00	2388.71	4872.29	5669	-2.44	1	20140905t233223_068250z
4377	40425	0.772731481	40425	0.772731481	0.938	-05:00	739.48	4529.2	5798.8	-2.68	1.14	20140905t233244_811500z
4378	40425	0.773171296	40425	0.773171296	0.007	-05:00	2008.76	5332.07	5829	-2.27	1.27	20140905t233322_964000z
4379	40425	0.77375	40425	0.77375	0.753	-05:00	2388.77	5112.04	5729	-2.27	1.51	20140905t233412_516500z
4380	40425	0.774050926	40425	0.774050926	0.23	-05:00	2068.74	4832.16	5729	-2.39	1.32	20140905t233438_176000z
4381	40425	0.774270833	40425	0.774270833	0.593	-05:00	2128.73	5232.17	5649	-2.5	0.96	20140905t233457_556000z
4382	40425	0.774756944	40425	0.774756944	0.701	-05:00	2348.74	4772.2	5349.93	-2.24	1.11	20140905t233539_691250z
4383	40425	0.77712963	40425	0.77712963	0.287	-05:00	2048.77	4732.06	5915.85	-2.45	0.88	20140905t233904_152250z
4384	40425	0.777210648	40425	0.777210648	0.15	-05:00	1968.8	4911.94	5809	-2.38	1.41	20140905t233911_129000z
4385	40425	0.777696759	40425	0.777696759	0.071	-05:00	2028.73	5592.13	5800.96	-2.36	1.02	20140905t233953_054250z
