Event Number	Acquisition Date (Local)	Acquisition Time (Local)	Origin Date (Local)	Origin Time (Local)	Origin Time (partial seconds)	Time Zone Offset	Easting ft (Relative Local Tangent Plane True North)	Northing ft (Relative Local Tangent Plane True North)	Depth ft (TVD)	Magnitude	Confidence	Event File
7282	40433	0.891238426	40433	0.891238426	0.125	-05:00	127.04	4325.87	5674.65	-2.87	2.75	20140914t022323_919500z
7283	40433	0.894814815	40433	0.894814815	0.44	-05:00	2443.01	4386.34	5906.96	-2.05	1.58	20140914t022832_334500z
7284	40433	0.895266204	40433	0.895266204	0.312	-05:00	2665.45	4618.21	5837.01	-1.97	1.73	20140914t022911_222750z
7285	40433	0.899976852	40433	0.899976852	0.617	-05:00	2345.68	4437.9	5867.73	-2.2	1.34	20140914t023558_642750z
7286	40433	0.902337963	40433	0.902337963	0.594	-05:00	2458.72	4355.37	5891.98	-2.2	1.12	20140914t023922_614750z
7287	40433	0.902673611	40433	0.902673611	0.619	-05:00	2230.67	4105.48	5837.69	-2.18	1.35	20140914t023951_532250z
7288	40433	0.90306713	40433	0.90306713	0.297	-05:00	2576.88	4403.58	5892.06	-1.85	1.61	20140914t024025_231250z
7289	40433	0.90318287	40433	0.90318287	0.374	-05:00	2739.54	4471.59	5894.01	-1.65	2.1	20140914t024035_281500z
7290	40433	0.903703704	40433	0.903703704	0.68	-05:00	2623.86	3537.32	5862.69	-1.98	0.83	20140914t024120_668250z
7291	40433	0.903935185	40433	0.903935185	0.776	-05:00	2724.41	4534.66	5886.06	-1.01	2.18	20140914t024140_633000z
7292	40433	0.903935185	40433	0.903935185	0.816	-05:00	2333.13	4257.57	5831.54	-1.09	2.61	20140914t024140_833500z
7293	40433	0.904363426	40433	0.904363426	0.966	-05:00	2559.72	4260.82	5841.61	-2.01	1.27	20140914t024217_991750z
7294	40433	0.904733796	40433	0.904733796	0.478	-05:00	2766.71	4471.27	5884.49	-1.41	2.12	20140914t024249_352750z
7295	40433	0.907106481	40433	0.907106481	0.934	-05:00	3048.76	4162.85	5837.38	-1.86	1.22	20140914t024614_954500z
7296	40433	0.910358796	40433	0.910358796	0.175	-05:00	2874.53	4643.65	5686.15	-1.75	2.47	20140914t025055_074000z
7297	40433	0.91099537	40433	0.91099537	0.897	-05:00	2370.34	4136.11	5832.49	-2.11	1.11	20140914t025150_897250z
7298	40433	0.91181713	40433	0.91181713	0.552	-05:00	2425.87	4204.22	5476.94	-1.87	1.53	20140914t025301_620250z
7299	40433	0.91181713	40433	0.91181713	0.557	-05:00	2435.34	4102	5871.63	-1.88	2.49	20140914t025301_419750z
7300	40433	0.91193287	40433	0.91193287	0.834	-05:00	2400.25	4040.41	5886.46	-2.11	1.87	20140914t025311_710500z
7301	40433	0.912615741	40433	0.912615741	0.48	-05:00	2351.1	4281.71	5853.66	-2.13	1.31	20140914t025410_483000z
7302	40433	0.913368056	40433	0.913368056	0.204	-05:00	2795.34	4227.3	5908.17	-2.33	1.14	20140914t025515_225750z
7303	40433	0.913518519	40433	0.913518519	0.24	-05:00	2083.89	4378.44	5901.48	-2.04	1.52	20140914t025528_217000z
7304	40433	0.913900463	40433	0.913900463	0.88	-05:00	2431.8	4139.78	5874.24	-1.87	2.13	20140914t025601_768000z
7305	40433	0.91625	40433	0.91625	0.193	-05:00	2698.86	3942.37	5872.46	-1.64	2.7	20140914t025924_064500z
7306	40433	0.916388889	40433	0.916388889	0.93	-05:00	2040.5	3941.35	5882.24	-2.12	2.43	20140914t025936_785500z
7307	40433	0.917974537	40433	0.917974537	0.14	-05:00	2902.26	4275.92	5867.97	-1.6	3.01	20140914t030153_022000z
7308	40433	0.919710648	40433	0.919710648	0.612	-05:00	1720.1	4419.88	5881.65	-1.77	2.77	20140914t030423_486250z
7309	40433	0.920243056	40433	0.920243056	0.574	-05:00	2204.14	4735.95	5873.42	-1.47	1.77	20140914t030509_475000z
7310	40433	0.920752315	40433	0.920752315	0.866	-05:00	2860.46	4264.9	5858.51	-1.85	1.43	20140914t030553_774000z
7311	40433	0.921284722	40433	0.921284722	0.098	-05:00	-79.73	4403.34	5808.54	-2.81	2.9	20140914t030639_868750z
7312	40433	0.92712963	40433	0.92712963	0.462	-05:00	2830.07	4165.18	5847.13	-1.57	1.54	20140914t031504_350250z
7313	40433	0.927800926	40433	0.927800926	0.532	-05:00	1863.08	4773.63	5901.98	-1.27	3.48	20140914t031602_420250z
7314	40433	0.934386574	40433	0.934386574	0.829	-05:00	2473.84	3587.24	5851.9	-2.33	1.13	20140914t032531_818000z
7315	40433	0.935914352	40433	0.935914352	0.446	-05:00	856.1	4570.29	6288.5	-1.51	3.69	20140914t032743_364000z
7316	40433	0.967800926	40433	0.967800926	0.397	-05:00	2612.09	4514.84	5903.63	-1.66	4.02	20140914t041338_271750z
7317	40433	0.9734375	40433	0.9734375	0.241	-05:00	1602.47	4679.33	5876.72	-2.03	2.28	20140914t042145_167500z
7318	40433	0.977372685	40433	0.977372685	0.132	-05:00	2123.84	5011.99	5933.84	-1.76	0.49	20140914t042725_899750z
7319	40433	0.977696759	40433	0.977696759	0.038	-05:00	3048.76	5048.09	5313.9	-1.99	0.6	20140914t042753_992500z
7320	40433	0.989479167	40433	0.989479167	0.84	-05:00	1600.13	4512.3	5905.57	-2.04	2.18	20140914t044451_716750z
7321	40433	0.992974537	40433	0.992974537	0.02	-05:00	2438.33	4519.98	5877.11	-1.95	1.31	20140914t044953_934000z
7322	40433	0.994050926	40433	0.994050926	0.84	-05:00	3202.58	4638.02	5499.91	-2.21	1.32	20140914t045126_812000z
7323	40434	4.62963E-05	40434	4.62963E-05	0.1	-05:00	2537.78	4246.9	5885.98	-1.94	1.59	20140914t050004_988250z
7324	40434	0.001458333	40434	0.001458333	0.487	-05:00	1609.43	2347.96	5824.95	-2.66	1.67	20140914t050206_275750z
7325	40434	0.002546296	40434	0.002546296	0.328	-05:00	2645.43	4311.34	5401.16	-2.19	1.59	20140914t050340_366000z
7326	40434	0.006736111	40434	0.006736111	0.17	-05:00	2985.99	4186.06	5877.5	-2	1.64	20140914t050942_099750z
7327	40434	0.01537037	40434	0.01537037	0.481	-05:00	1177.98	4457.26	5884.39	-2.01	3.23	20140914t052208_347000z
7328	40434	0.017233796	40434	0.017233796	0.654	-05:00	2735.85	4529.75	5834	-2.04	1.31	20140914t052449_566750z
7329	40434	0.020393519	40434	0.020393519	0.465	-05:00	1121.25	4662.15	5835.97	-2.43	1.53	20140914t052922_343250z
